,Time,OpeningPrice,HighPrice,LowPrice,TradePrice,CandleAccTradeVolume,candleAccTradePrice
0,2017-09-25T09:00:00,4201000,4333000,4175000,4322000,560214613.8,132.484755
1,2017-09-26T09:00:00,4317000,4418000,4311000,4321000,99507239.79,22.78833969
0,2017-09-27T09:00:00,4322000,4677000,4318000,4657000,144827623,32.2696617
1,2017-09-28T09:00:00,4657000,4772000,4519000,4586000,372185978.3,80.5882434
2,2017-09-29T09:00:00,4586000,4709000,4476000,4657000,272455756.8,59.35237346
3,2017-09-30T09:00:00,4657000,4896000,4651000,4895000,95614755.71,19.99848332
4,2017-10-01T09:00:00,4889000,4978000,4682000,4962000,133132538.9,27.32333246
5,2017-10-02T09:00:00,4962000,5095000,4956000,5025000,159931532.8,31.72800385
6,2017-10-03T09:00:00,5021000,5079000,4811000,4964000,58901304.62,11.89930699
7,2017-10-04T09:00:00,4987000,5002000,4837000,4895000,34588125.3,7.03874388
8,2017-10-05T09:00:00,4894000,4993000,4811000,4926000,26371319.19,5.36365175
9,2017-10-06T09:00:00,4927000,5034000,4885000,5027000,123935127.5,25.16382027
10,2017-10-07T09:00:00,4983000,5070000,4935000,5047000,21667485.97,4.343932
11,2017-10-08T09:00:00,5044000,5263000,4993000,5217000,738294004.5,145.9178596
12,2017-10-09T09:00:00,5222000,5761000,5188000,5477000,43270591.14,8.07043419
13,2017-10-10T09:00:00,5469000,5665000,5459000,5486000,64822758.51,11.69369387
14,2017-10-11T09:00:00,5533000,5605000,5451000,5557000,23324891.84,4.21265003
15,2017-10-12T09:00:00,5569000,6377000,5515000,6332000,118992387,20.91828711
16,2017-10-13T09:00:00,6346000,6950000,6149000,6438000,175283223.8,26.82608423
17,2017-10-14T09:00:00,6427000,6664000,6322000,6664000,21713362.01,3.35282452
18,2017-10-15T09:00:00,6610000,6700000,6142000,6381000,48606365.59,7.63078273
19,2017-10-16T09:00:00,6403000,6527000,6282000,6491000,146271226.2,22.92663476
20,2017-10-17T09:00:00,6495000,6510000,6299000,6457000,27260409.2,4.24133721
21,2017-10-18T09:00:00,6413000,6489000,5876000,6391000,219208847.5,36.00111898
22,2017-10-19T09:00:00,6405000,6596000,6109000,6511000,76025647.17,11.95565558
23,2017-10-20T09:00:00,6536000,6954000,6395000,6928000,145159280.7,21.97426401
24,2017-10-21T09:00:00,6928000,7253000,6773000,6874000,38250145.45,5.46210809
25,2017-10-22T09:00:00,6858000,7060000,6709000,7039000,30054045.85,4.39101644
26,2017-10-23T09:00:00,7017000,7100000,6668000,6971000,97052524.49,14.03934445
27,2017-10-24T09:00:00,7034000,7052000,6350000,6479000,651377192.1,98.6742294
28,2017-10-25T09:00:00,6479000,6644000,6212000,6643000,695968675,108.3639736
29,2017-10-26T09:00:00,6643000,6873000,6534000,6811000,2881467622,428.5085197
30,2017-10-27T09:00:00,6765000,6950000,6633000,6710000,2917092204,431.2041296
31,2017-10-28T09:00:00,6708000,6800000,6600000,6715000,2708305313,404.1956362
32,2017-10-29T09:00:00,6715000,7030000,6588000,6961000,4413173510,656.2798937
33,2017-10-30T09:00:00,6961000,7007000,6809000,6964000,3621429304,521.8462842
34,2017-10-31T09:00:00,6965000,7479000,6965000,7422000,8331387759,1170.548125
35,2017-11-01T09:00:00,7422000,7799000,7256000,7798000,8657129768,1164.450599
